Part;Value;Device;Package;MPN;Manufacturer;Description;DESCRIPTION
R23;10k;R-EU_R0603;R0603;GPR060310K;Generic part;0603, Res 10.0kOhm, 50V, 1.0%, 100mW;
R24;10k;R-EU_R0603;R0603;GPR060310K;Generic part;0603, Res 10.0kOhm, 50V, 1.0%, 100mW;
S1;CT10-1540-G1;CT10-1540-G1;CT101540G1;CT10-1540-G1;Coto Technology;Molded Body Reed Switch SPST-NO 15 ~ 40AT Operate Range 10W 500mA (AC/DC) 140V Surface Mount;Magnetic / Reed Switches MOLDED 15-40AT SPST
SW1;KMR231NG LFS;SPST_TACT-KMR2;KMR2;KMR231NG LFS;C&K;Tactile Switch SPST-NO Top Actuated Surface Mount;
SW2;KMR231NG LFS;SPST_TACT-KMR2;KMR2;KMR231NG LFS;C&K;Tactile Switch SPST-NO Top Actuated Surface Mount;
U1;MCP73831T-2ACI/OT;MCP73831/2;SOT23-5;MCP73831T-2ACI/OT;Microchip Technology;Battery Charger for 1 Cell of Li-Ion, Li-Pol battery, 6V input, 4.2V / 500mA charge, SOT-23-5;
U2;SN74LVC1T45DBV;SN74LVC1T45DBV;SOT23-6;SN74LVC1T45DBVT;Texas Instruments;IC, Single-Bit Dual-Supply Bus Transceiver with Configurable Voltage Translation and 3-State Outputs;
U3;PAM2401;PAM2401;MSOP8;PAM2401SCADJ;Diodes Incorporated;"Boost Switching Regulator IC Positive Adjustable 2.5V 1 Output 1A 8-TSSOP, 8-MSOP (0.118"", 3.00mm Width)";
X1;S4B-ZR;S4B-ZR;S4B-ZR;S4B-ZR(LF)(SN);JST;"4 Positions Header Connector 0.059"" (1.50mm) Through Hole, Right Angle Tin";
X2;S4B-ZR;S4B-ZR;S4B-ZR;S4B-ZR(LF)(SN);JST;"4 Positions Header Connector 0.059"" (1.50mm) Through Hole, Right Angle Tin";
X3;S4B-ZR;S4B-ZR;S4B-ZR;S4B-ZR(LF)(SN);JST;"4 Positions Header Connector 0.059"" (1.50mm) Through Hole, Right Angle Tin";
